"","logFC","logCPM","PValue","FDR"
"TRINITY_DN3743_c0_g1_i1",2.16323830418495,2.81879027944766,3.92892314076428e-14,2.00400928357536e-12
"TRINITY_DN3413_c0_g1_i1",0.888709816291761,7.83024027826961,4.84817045150049e-14,2.4567232359793e-12
"TRINITY_DN1191_c0_g1_i1",1.01200432331212,6.98607966244101,4.97245497923824e-14,2.50334048402819e-12
"TRINITY_DN3372_c0_g1_i1",1.62982582338093,6.0800084378972,5.69569455166047e-14,2.84894966832411e-12
"TRINITY_DN109_c0_g1_i1",0.886405093762503,9.77751412050476,5.93939963381036e-14,2.9518054718546e-12
"TRINITY_DN4147_c0_g1_i1",1.20438038083627,5.05384397126506,7.43983550751147e-14,3.67395189106602e-12
"TRINITY_DN1233_c0_g1_i1",-1.54679182525565,8.69908516329147,7.99511313342149e-14,3.92317165338081e-12
"TRINITY_DN6144_c0_g1_i1",1.28774651873162,8.27072310700122,9.66976912619251e-14,4.71507673178431e-12
"TRINITY_DN449_c0_g1_i1",0.857985285068416,7.88258760686566,9.92735451390366e-14,4.81042372164344e-12
"TRINITY_DN75_c0_g1_i1",-0.850361579635665,8.56073243443968,1.04408950692654e-13,5.02784220323073e-12
"TRINITY_DN3676_c0_g1_i1",1.16911011091929,4.76475777344059,1.08676410235392e-13,5.19222294723805e-12
"TRINITY_DN5104_c0_g1_i1",0.931732567740946,5.584929089717,1.09161916728983e-13,5.19222294723805e-12
"TRINITY_DN164_c0_g1_i1",1.1075783555514,5.19411984747497,1.15121278282514e-13,5.44228823490445e-12
"TRINITY_DN888_c0_g1_i1",0.841543985521344,9.09612904322391,1.45014296045249e-13,6.81391416508375e-12
"TRINITY_DN4124_c0_g1_i1",0.883482897275503,6.44711953381087,1.66988526592575e-13,7.79916895585684e-12
"TRINITY_DN846_c0_g1_i1",1.01273126160786,8.34234374386755,1.8012490584519e-13,8.36232571866919e-12
"TRINITY_DN4434_c0_g1_i1",1.419154873108,4.4793513978846,1.9044295402221e-13,8.78871561032259e-12
"TRINITY_DN2346_c0_g1_i1",1.13349401560549,4.86626703922169,1.98316023772983e-13,9.09789427403512e-12
"TRINITY_DN1_c0_g1_i1",-0.838224144900688,6.34049760956932,2.1041192074159e-13,9.59602130299734e-12
"TRINITY_DN4773_c0_g1_i1",0.891741113390798,6.78496076598228,2.30583280914634e-13,1.0454457175036e-11
"TRINITY_DN2298_c0_g1_i1",-1.17919018685415,5.54704160493966,2.48656054488105e-13,1.12083162235249e-11
"TRINITY_DN3532_c0_g1_i1",1.08025855597684,5.36352686681318,2.50717254491088e-13,1.12359010061815e-11
"TRINITY_DN933_c0_g1_i1",0.811137609850491,7.06107411647935,2.52962355528725e-13,1.1271362887438e-11
"TRINITY_DN6390_c0_g1_i1",2.84106070617525,2.22882311063519,2.63030391894475e-13,1.16529978763307e-11
"TRINITY_DN1545_c0_g1_i1",1.6126503544975,6.72097202607189,2.80077057179013e-13,1.23377126381187e-11
"TRINITY_DN1145_c0_g1_i1",0.961434348741515,5.79496176328182,3.2444181810879e-13,1.42112848350138e-11
"TRINITY_DN5330_c0_g1_i1",0.842136647945056,6.36085958499509,3.7081112569224e-13,1.61511160533255e-11
"TRINITY_DN771_c0_g1_i1",0.838583181675334,6.25896851364516,4.30660466497615e-13,1.86531318254526e-11
"TRINITY_DN326_c0_g1_i1",1.31395870178333,5.6131560986952,4.38741995742847e-13,1.88975927388572e-11
"TRINITY_DN296_c0_g1_i1",0.815151799643738,6.20426701780259,4.45581648060679e-13,1.90861575547759e-11
"TRINITY_DN5457_c0_g1_i1",2.27287516561711,2.70951386071036,4.62336748559329e-13,1.96950374262663e-11
"TRINITY_DN2667_c0_g1_i1",1.06295602393154,6.41632865753517,5.82539521739738e-13,2.46799394100994e-11
"TRINITY_DN3889_c0_g1_i1",0.965931785210325,6.5648248178698,6.15716885312259e-13,2.59437663686193e-11
"TRINITY_DN2328_c0_g1_i1",1.09667899211088,7.47901761066016,7.463256281944e-13,3.12770951102226e-11
"TRINITY_DN2669_c0_g1_i1",2.55754027335088,2.31092414922355,7.50845958541951e-13,3.12973586912674e-11
"TRINITY_DN923_c0_g1_i1",1.14297848861182,4.33915890558291,7.95182343767900e-13,3.29681749263772e-11
"TRINITY_DN3913_c0_g1_i1",0.947162229627752,7.45043698443709,8.01756756317406e-13,3.30639368708981e-11
"TRINITY_DN1108_c0_g1_i1",-1.51500501160145,4.36285587131939,9.10935556339396e-13,3.73676368693086e-11
"TRINITY_DN860_c0_g1_i1",1.60437111829343,4.54180773784083,9.95801601127296e-13,4.06339463870523e-11
"TRINITY_DN1548_c0_g1_i1",1.75887483859472,3.74770199561969,1.11971371929317e-12,4.5450997202513e-11
"TRINITY_DN4916_c0_g1_i1",1.02223722432572,5.20163970824451,1.14324141402433e-12,4.6164326473597e-11
"TRINITY_DN2303_c0_g1_i1",1.02346292446052,4.85060100160274,1.22910045637131e-12,4.93741753277035e-11
"TRINITY_DN3074_c0_g1_i1",-0.833488777458077,8.58062904282628,1.27274037447517e-12,5.08636913572474e-11
"TRINITY_DN574_c0_g1_i1",1.40424911701454,3.91282046819865,1.445178425157e-12,5.74588119499599e-11
"TRINITY_DN4810_c0_g1_i1",-1.49873422181319,7.61482366862545,1.46696590052191e-12,5.80274827895224e-11
"TRINITY_DN2373_c0_g1_i1",1.08455419229421,5.63340457138785,1.48059129843378e-12,5.82691590698331e-11
"TRINITY_DN1593_c0_g1_i1",0.838278644088456,7.30518422436133,1.53624390754693e-12,6.01540354303602e-11
"TRINITY_DN4520_c0_g1_i1",1.07113811625034,6.50760496475975,1.83954685400096e-12,7.16683756737157e-11
"TRINITY_DN4787_c0_g1_i1",1.28168990952526,4.49868717296933,1.93679406323853e-12,7.50798218614416e-11
"TRINITY_DN2272_c0_g1_i1",1.3948187392899,4.36185497367889,1.95041437882698e-12,7.52316551196296e-11
"TRINITY_DN6569_c0_g1_i1",-1.49113115920729,4.11203085114138,2.17250020748846e-12,8.33831391517723e-11
"TRINITY_DN601_c1_g2_i1",-1.09272002896674,6.67459675607807,2.19165315011828e-12,8.370387622102e-11
"TRINITY_DN2445_c0_g1_i1",1.08417173533386,4.65958249711307,2.28220719008682e-12,8.67350605134468e-11
"TRINITY_DN6482_c0_g1_i1",2.85152565686736,2.3805728105951,2.38972824217463e-12,9.03783563979509e-11
"TRINITY_DN2594_c1_g1_i1",0.923753789456275,5.43366913045675,2.5425784388631e-12,9.56922846432313e-11
"TRINITY_DN5923_c0_g1_i1",-7.08457103833273,3.02731501072855,2.72056911154749e-12,1.0189648464651e-10
"TRINITY_DN1770_c0_g1_i1",0.860990889893105,7.27348768840685,2.74169837262986e-12,1.02194170591343e-10
"TRINITY_DN851_c0_g1_i1",0.921686408885798,5.27420152218878,2.80659391202685e-12,1.04112548325092e-10
"TRINITY_DN2884_c0_g1_i1",0.953569189760743,6.94552898949152,3.30381543010165e-12,1.21973719188467e-10
"TRINITY_DN3862_c0_g1_i1",-1.76873558529889,7.07039047913893,3.50190807950149e-12,1.28674376020735e-10
"TRINITY_DN2388_c0_g1_i1",-1.65213846922307,8.86575406307104,3.55217809363097e-12,1.29905833773212e-10
"TRINITY_DN1928_c0_g1_i1",0.845500407979429,6.03188416335051,3.57236914553821e-12,1.30030882560365e-10
"TRINITY_DN1585_c0_g1_i1",0.749380674743373,7.118777416581,3.78944049702544e-12,1.37287533520739e-10
"TRINITY_DN387_c0_g1_i1",0.79737607976867,7.18307433734104,4.18388142020837e-12,1.50872710004072e-10
"TRINITY_DN2607_c0_g1_i1",0.949232223108927,5.5985568072266,4.2290764660155e-12,1.51796434449158e-10
"TRINITY_DN1451_c0_g1_i1",1.08212043777674,4.41011858493965,4.33157952222539e-12,1.54759152238772e-10
"TRINITY_DN1862_c0_g1_i1",0.950406889481787,6.82955460141095,4.75921697503315e-12,1.69257840401064e-10
"TRINITY_DN2368_c0_g1_i1",-0.7793753463778,9.23681631852573,4.89816474759065e-12,1.73403978484339e-10
"TRINITY_DN2356_c0_g1_i1",-1.64987264332162,7.99879765527073,4.94323531963865e-12,1.74204106514357e-10
"TRINITY_DN1502_c0_g1_i1",2.22132672621714,2.66893126989975,5.03265144675576e-12,1.76552699849309e-10
"TRINITY_DN4979_c0_g1_i1",1.24289432122621,5.92600071049936,5.17893360977404e-12,1.80866091335937e-10
"TRINITY_DN5886_c0_g1_i1",0.768645647145749,6.19242815473222,5.3214808964348e-12,1.85010947937484e-10
"TRINITY_DN4670_c0_g1_i1",3.0565807816106,1.96064046213671,5.45378357452188e-12,1.88764214523518e-10
"TRINITY_DN620_c0_g1_i1",1.06070360267825,4.98581415725513,5.66588994812466e-12,1.95233976745824e-10
"TRINITY_DN6392_c0_g1_i1",2.66574959754764,2.19691329498536,7.33005049714281e-12,2.51459652674107e-10
"TRINITY_DN5449_c0_g1_i1",0.760748178790095,6.43054598520005,9.13954905031611e-12,3.12153849282382e-10
"TRINITY_DN1534_c0_g1_i1",0.775127784018494,5.94497172538498,9.27743962021328e-12,3.15473637611901e-10
"TRINITY_DN2691_c1_g1_i1",-1.49340239722567,7.29578064662035,9.612324476767e-12,3.25386248301198e-10
"TRINITY_DN1954_c0_g1_i1",1.03530490619653,7.98712581184107,9.7297636789167e-12,3.25386248301198e-10
"TRINITY_DN3274_c0_g1_i1",1.59399420149615,5.93756339826381,9.76106546451402e-12,3.25386248301198e-10
"TRINITY_DN1958_c0_g1_i1",1.05756977378917,7.60270978049882,9.76867214671186e-12,3.25386248301198e-10
"TRINITY_DN5711_c0_g1_i1",0.994741124700789,5.06979765856663,9.77879477030556e-12,3.25386248301198e-10
"TRINITY_DN2624_c0_g1_i1",1.91373642158558,4.5724154434704,1.03035488950178e-11,3.41382113602876e-10
"TRINITY_DN3674_c0_g1_i1",1.48762563153527,5.26140682137517,1.08477039960135e-11,3.57881910983373e-10
